name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
Fairfield Inn by Marriott,4.2,(120),Pune +22 other locations,"Company Culture, Job Security, Skill Development / Learning",
Evertogen Life Sciences,3.2,(120),Pharma | Hyderabad +5 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
India1 Payments,3.9,(120),Financial Services | Bengaluru/Bangalore +20 other locations,Salary & Benefits,"Promotions / Appraisal, Skill Development / Learning"
Raptim Research,4.0,(120),Clinical Research | Mumbai +2 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
Ogilvy,3.9,(120),Marketing & Advertising | New York +11 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Gemini Consulting & Services,4.0,(120),IT Services & Consulting | St Louis +8 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Digital Nirvana Information Systems,3.8,(121),Software Product | Fremont +2 other locations,,"Promotions / Appraisal, Salary & Benefits"
NewAge Software & Solutions,3.4,(120),IT Services & Consulting | Chennai +7 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Artech,2.9,(120),Architecture & Interior Design | Morristown +12 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Verka milk dairy,4.0,(120),Agriculture | Chandigarh +16 other locations,,"Promotions / Appraisal, Job Security"
Shipco It,3.8,(120),IT Services & Consulting | Pune +3 other locations,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
Bikaji Foods,4.1,(120),FMCG | Bikaner +28 other locations,"Work Satisfaction, Skill Development / Learning, Company Culture",
Deshpande Foundation,3.9,(120),Non-Profit | Stoneham +19 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Cinda Engineering & Construction,4.2,(120),Engineering & Construction | Noida +14 other locations,"Work Life Balance, Job Security, Salary & Benefits",
Kartavya Healtheon,4.1,(120),Internet | Goregaon +17 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Bhartiya International,3.7,(119),Fashion & Textile | Gurgaon/Gurugram +11 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
ParamInfo,4.0,(119),IT Services & Consulting | Dubai +3 other locations,"Job Security, Salary & Benefits, Company Culture",
Futures Group,4.4,(119),Retail | New York +43 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
iB Hubs,4.2,(119),IT Services & Consulting | Gurgaon +6 other locations,"Skill Development / Learning, Promotions / Appraisal, Company Culture",
Vigour Mobile,3.6,(119),Consumer Electronics & Appliances | Gurgaon +23 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Midco,3.9,(119),Telecom | Sioux Falls +26 other locations,"Company Culture, Work Satisfaction, Job Security",
Bando India,3.8,(119),Auto Components | Gurgaon/Gurugram +11 other locations,Job Security,Promotions / Appraisal
Krishak Bharati Cooperative,4.5,(119),Agro Chemicals | New Delhi +20 other locations,"Job Security, Company Culture, Work Life Balance",
ICONMA,2.9,(119),Recruitment | Troy +3 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Aksh Optifibre,3.6,(119),Telecom | Delhi/NCR +12 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Deepija Telecom,4.1,(119),Software Product | Hyderabad +11 other locations,"Job Security, Company Culture, Work Life Balance",
Lilavati Hospital & Research Centre,4.0,(119),Healthcare | Mumbai +8 other locations,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
SOTI,3.3,(119),Software Product | Mississauga +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Costa Coffee,3.6,(119),Beverage | Dunstable +24 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
DevTown,3.6,(119),Education & Training | Bangalore / Bengaluru +8 other locations,,"Salary & Benefits, Promotions / Appraisal"
Urjanet Energy Solutions,3.8,(119),IT Services & Consulting | Atlanta +2 other locations,"Company Culture, Work Life Balance","Skill Development / Learning, Promotions / Appraisal, Work Satisfaction"
Visen Industries,4.4,(119),Chemicals | Mumbai +12 other locations,"Work Life Balance, Work Satisfaction, Job Security",
NPCC Engineering,3.7,(119),Oil & Gas | Mumbai +11 other locations,,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction"
Aurus,2.8,(119),FinTech | Norwood +3 other locations,,"Work Life Balance, Company Culture, Work Satisfaction"
Topsel Toyota,4.2,(119),Automobile | Kolkata +7 other locations,"Job Security, Company Culture, Work Life Balance",
Java R & D,3.2,(119),IT Services & Consulting | Bhopal +6 other locations,,"Job Security, Promotions / Appraisal, Company Culture"
Spun Micro Processing,3.6,(119),Auto Components | Gurugram +7 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Mahavir Die Casters,4.0,(119),Auto Components | Faridabad  +4 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security"
American India Foundation,4.0,(119),Non-Profit | New York +35 other locations,Work Life Balance,"Job Security, Promotions / Appraisal"
Creative Garments,3.9,(119),Fashion & Textile | Mumbai +13 other locations,Skill Development / Learning,Promotions / Appraisal
GP Strategies,3.9,(119),Education & Training | Columbia +10 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Ambuja Cement Foundation,4.0,(119),Non-Profit | Mumbai +48 other locations,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Accubits Technologies,3.2,(119),IT Services & Consulting | Washington +2 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Jeena Sikho Lifecare,3.4,(116),Pharma | New Delhi +30 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
VK Building Services,3.9,(119),Engineering & Construction | Bangalore/Bengaluru +12 other locations,,"Promotions / Appraisal, Company Culture"
SAT n paper,4.4,(119),Ludhiana +2 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",
Bimbo Bakeries India,3.7,(119),FMCG | Gurgaon / Gurugram +14 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Kepler Healthcare,3.4,(119),Pharma | Ahmedabad +38 other locations,,"Salary & Benefits, Job Security, Promotions / Appraisal"
TP Northern Odisha Distribution,3.7,(119),Soro +20 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amco Batteries,4.2,(119),Auto Components | Chennai +23 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
MELCO,3.7,(119),Industrial Machinery | Faridabad +22 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
KMC Constructions,3.7,(119),Engineering & Construction | Chennai +24 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Full Creative,3.5,(119),Portland +5 other locations,Skill Development / Learning,"Job Security, Promotions / Appraisal, Work Life Balance"
Jubilant Motorworks,4.2,(119),Automobile | Bengaluru +11 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Gleneagles Global Hospital,4.1,(119),Pharma | Hyderabad +5 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Kanerika Software,4.6,(119),IT Services & Consulting | Hyderabad/Secunderabad +5 other locations,"Company Culture, Job Security, Salary & Benefits",
Futuresoft Solutions,3.5,(119),IT Services & Consulting | New Delhi +20 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Naresh i Technologies,4.1,(119),IT Services & Consulting | Hyderabad/Secunderabad +6 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
Modern Foods,3.9,(119),Food Processing | Gurgaon/Gurugram +20 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Arrise Bpo Solutions,3.5,(120),Kanpur Nagar +30 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
John Energy,4.1,(119),Oil & Gas | Ahmedabad +11 other locations,"Skill Development / Learning, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Amantya Technologies,3.8,(119),IT Services & Consulting | Manassas +3 other locations,,
Ebix Smartclass Educational Services,4.3,(120),EdTech | Gurugram +31 other locations,"Work Life Balance, Work Satisfaction, Company Culture",
Monomark Engineering,4.1,(119),Engineering & Construction | Chittorgarh +21 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Velammal Educational Trust,3.7,(119),Education & Training | Chennai +9 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
ICE Data Services,3.3,(119),Financial Services | Atlanta +3 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
FNF India,3.7,(119),IT Services & Consulting | Bangalore/Bengaluru +4 other locations,,Promotions / Appraisal
Swiss Garnier Life Sciences,3.5,(119),Pharma | Chennai +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
M Tech Innovations,3.6,(119),Electronics Manufacturing | Pune +7 other locations,Skill Development / Learning,"Work Life Balance, Salary & Benefits, Promotions / Appraisal"
Gmr Airport Developers,4.1,(119),New Delhi +6 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Orbit Techsol,3.8,(119),IT Services & Consulting | Delhi +15 other locations,,"Promotions / Appraisal, Salary & Benefits"
yellow.ai,3.1,(119),Software Product | San Mateo +4 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Paytm Mall,3.6,(118),Internet | Delhi +22 other locations,,"Promotions / Appraisal, Job Security"
Oaknet Healthcare,3.6,(118),Pharma | Mumbai +29 other locations,,"Job Security, Work Satisfaction, Company Culture"
Paladion Networks,4.0,(118),Hardware & Networking | Bangalore +5 other locations,"Job Security, Skill Development / Learning",Salary & Benefits
Prothious Engineering Services,3.4,(118),Design | Mumbai +6 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
AccSource KPO,3.9,(119),Accounting & Auditing | Sydney +1 other locations,"Work Life Balance, Skill Development / Learning, Job Security",
Haldiram Bhujiawala,3.5,(118),Food Processing | Kolkata +30 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
SmartSchool Education,4.3,(118),EdTech | Noida +8 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
DSM,4.4,(118),Chemicals | Heerlen +21 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Redington Gulf,3.7,(118),IT Services & Consulting | Dubai +2 other locations,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
Vibracoustic,3.9,(118),Automobile | Darmstadt +11 other locations,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Baggit,3.3,(119),Fashion & Textile | Mumbai +23 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
BIZONGO,3.3,(118),Emerging Technologies | Mumbai +10 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
"PKF Sridhar & Santhanam LLP, Chartered Accountants",3.4,(118),Accounting & Auditing | Chennai +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Hughes Communications,3.8,(118),Telecom | Gurgaon/Gurugram +16 other locations,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Indian Register of Shipping,4.1,(119),Ports & Shipping | Mumbai +28 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Gail Gas,4.2,(118),Oil & Gas | Noida +30 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Indian Register of Shipping,4.1,(119),Ports & Shipping | Mumbai +28 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Hubtown,3.4,(118),Engineering & Construction | Mumbai +8 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
AccSource KPO,3.9,(119),Accounting & Auditing | Sydney +1 other locations,"Work Life Balance, Skill Development / Learning, Job Security",
Baggit,3.3,(119),Fashion & Textile | Mumbai +23 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
"PKF Sridhar & Santhanam LLP, Chartered Accountants",3.4,(118),Accounting & Auditing | Chennai +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Luthra Group Company,3.8,(117),Waste Management | Surat +14 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Prabha Engineering,3.6,(119),Auto Components | Mumbai +14 other locations,,"Promotions / Appraisal, Company Culture, Job Security"
Vipul Motors,4.0,(118),Automobile | Faridabad +6 other locations,,
Solverminds Solutions and Technologies,3.9,(118),IT Services & Consulting | Chennai +3 other locations,,
Centrient Pharmaceuticals,3.9,(156),Pharma | Rotterdam +13 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
RS Software,3.7,(118),IT Services & Consulting | Milpitas +3 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Job Security"
Voith,4.0,(118),Pulp & Paper | Heidenheim +12 other locations,"Job Security, Salary & Benefits",
Ace Creative Learning,3.9,(118),Design | Bangalore +14 other locations,,"Promotions / Appraisal, Salary & Benefits"
Trellix,3.3,(119),Software Product | Plano +1 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Tata Trusts,4.4,(118),Non-Profit | Mumbai +32 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Vivifi India Finance,3.7,(118),Shaikpet +3 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
John Cockerill,3.6,(118),Mumbai +5 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Amazon Pay,4.1,(118),Ahmedabad +30 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
HP Computing and Printing Systems,4.3,(118),Dehradun +13 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Trinity Mobility,2.9,(118),IT Services & Consulting | Bangalore +6 other locations,,"Work Life Balance, Company Culture, Salary & Benefits"
RS Software,3.7,(118),IT Services & Consulting | Milpitas +3 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Job Security"
General Industrial Controls,3.9,(118),Industrial Machinery | Pune +12 other locations,,"Promotions / Appraisal, Work Satisfaction"
YuppTV,3.5,(118),Broadcasting | Atlanta +4 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Tata Trusts,4.4,(118),Non-Profit | Mumbai +32 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Frick India,4.3,(119),Industrial Machinery | New Delhi +12 other locations,"Work Life Balance, Salary & Benefits, Job Security",
Cashfree Payments,3.5,(119),FinTech | Bangalore +4 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
IPL Biologicals,3.8,(118),Agriculture | Gurgaon +20 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HP Computing and Printing Systems,4.3,(118),Dehradun +13 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Kent,3.6,(118),Financial Services | Breda +47 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Amazon Pay,4.1,(118),Ahmedabad +30 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
Vivifi India Finance,3.7,(118),Shaikpet +3 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
John Cockerill,3.6,(118),Mumbai +5 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Endress Hauser,4.4,(118),Industrial Automation | Reinach +14 other locations,"Job Security, Company Culture, Work Life Balance",
Gemini Edibles & Fats India,4.3,(118),Food Processing | Hyderabad +16 other locations,"Job Security, Salary & Benefits, Work Life Balance",
UMSL,3.6,(118),Engineering & Construction | Bhubaneswar +16 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Confiance BizSol Private Limited,3.5,(118),Analytics & KPO | Ahmedabad +2 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Dangote Cement,4.0,(117),Building Material | Lagos +4 other locations,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning"
Technosoft Corporation,3.3,(117),IT Services & Consulting | Chennai +6 other locations,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Roto Pumps,4.1,(117),Industrial Machinery | Noida +7 other locations,"Salary & Benefits, Company Culture, Work Life Balance",
BetterPlace Select,3.9,(117),Recruitment | Bangalore/Bengaluru +23 other locations,"Salary & Benefits, Company Culture, Work Satisfaction","Promotions / Appraisal, Job Security"
inTarvo Technologies,4.0,(117),BPO | Noida +16 other locations,"Skill Development / Learning, Work Life Balance",
DQ Entertainment,3.9,(117),Animation & VFX | Hyderabad/Secunderabad +2 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
Konnect Diagnostics,4.7,(117),Healthcare | Medak +7 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Ascend Telecom Infrastructure,4.1,(117),Telecom | Bengaluru +23 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
Riello Power India,3.7,(117),Electronics Manufacturing | Gurgaon/Gurugram +12 other locations,,Promotions / Appraisal
Lanco Anpara Power,4.2,(117),Power | Gurgaon +9 other locations,"Work Life Balance, Job Security, Work Satisfaction",
IQ City Medical College,3.6,(117),Education & Training | Durgapur +2 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Deendayal Antyodaya Yojana-National Rural Livelihoods Mission,3.7,(117),Government | New Delhi +53 other locations,,"Job Security, Promotions / Appraisal, Salary & Benefits"
Techno India Group,3.9,(117),EdTech | Kolkata +17 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Interra Information Technologies,3.1,(117),IT Services & Consulting | San Jose +3 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Object Frontier Software,4.1,(117),IT Services & Consulting | Chennai +2 other locations,"Company Culture, Salary & Benefits, Job Security",
Gracenote,3.6,(117),Media & Entertainment | Emeryville +4 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Best Koki Automotive,3.7,(118),Auto Components | Gurgaon +10 other locations,,"Promotions / Appraisal, Job Security"
Goel Ganga Developments,3.7,(117),Real Estate | Pune +1 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Privat Hospital,4.1,(117),Healthcare | Gurgaon +53 other locations,"Skill Development / Learning, Job Security, Work Satisfaction",
Datasigns Technologies,4.2,(117),FinTech | Bangalore +8 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
Nucsoft,3.0,(117),IT Services & Consulting | Mumbai +6 other locations,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Lapp India,4.2,(117),Electrical Equipment | Bangalore / Bengaluru +13 other locations,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal
Yahoo,4.6,(117),Internet | Sunnyvale +6 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
Nahar Group of Companies,3.4,(117),Fashion & Textile | Ludhiana +20 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Jharkhand State Livelihood Promotion Society,3.6,(117),Government | Ranchi +22 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
House of Beauty,4.0,(117),Internet | Gurgaon/Gurugram +15 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",
NSL Sugars,3.9,(117),Food Processing | Hyderabad +18 other locations,"Job Security, Salary & Benefits",
Motilal Oswal Securities,4.3,(117),Financial Services | Mumbai +22 other locations,"Skill Development / Learning, Job Security, Company Culture",
Madhavbaug,3.5,(117),Healthcare | Thane +35 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
Caparo Group,3.8,(117),Oil & Gas | London +26 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Smart Call Center Solutions,3.3,(117),BPO | Kolkata +5 other locations,,"Promotions / Appraisal, Salary & Benefits, Job Security"
TechStar Group,4.0,(117),IT Services & Consulting | Dallas +6 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",
Zeiss Pharma,3.3,(117),Pharma | Baddi +8 other locations,,"Company Culture, Salary & Benefits, Work Satisfaction"
NIS Management Private,4.0,(117),Law Enforcement & Security | Kolkata +15 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Montage Enterprises,3.8,(117),Packaging | Mumbai +11 other locations,Job Security,"Promotions / Appraisal, Company Culture"
Billroth Hospitals,3.8,(117),Healthcare | Chennai +3 other locations,"Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
IIT Kharagpur,4.2,(117),Education & Training | Kharagpur +8 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Liquiloans,3.1,(118),FinTech | Mumbai +9 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Multi Organics,3.4,(117),Chemicals | Mumbai +4 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
PolicyX.com,3.3,(117),FinTech | Gurgaon/Gurugram +5 other locations,,"Job Security, Work Satisfaction, Promotions / Appraisal"
Redington Group,3.8,(117),IT Services & Consulting | Chennai +15 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
MT Autocraft,3.8,(117),Auto Components | Kasauli +10 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
HCL Foundation,4.1,(117),Non-Profit | Noida +9 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Exemed Pharmaceuticals,4.1,(117),Pharma | Vadodara +6 other locations,"Job Security, Work Satisfaction, Skill Development / Learning",
Cairn Oil,3.8,(117),Gurgaon / Gurugram +16 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture"
BVC Logistics,4.0,(117),Logistics | Mumbai +26 other locations,"Job Security, Salary & Benefits, Work Satisfaction",
Abu Dhabi Commercial Bank,3.8,(117),Banking | Abu Dhabi +6 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Allied Nippon,3.5,(117),Auto Components | Luton +12 other locations,,"Work Satisfaction, Company Culture, Job Security"
CRED,3.5,(117),FinTech | Bangalore +8 other locations,,"Promotions / Appraisal, Work Life Balance, Job Security"
Bharat Petroleum Mumbai Refinery,4.2,(117),Navi Mumbai +10 other locations,"Salary & Benefits, Company Culture, Work Satisfaction",
Veeraraghavan & Company,3.1,(117),Accounting & Auditing | Andheri +19 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
O2f info Solutions,3.4,(118),Recruitment | Srinagar +6 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Zacks Research,2.9,(117),Financial Services | Chicago +1 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Ujaas Energy,3.6,(116),Power | Indore +17 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IJM (India) Infrastructure,3.9,(116),Engineering & Construction | Hyderabad +13 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
GKN Sinter Metals,4.0,(116),Auto Components | Auburn Hills +8 other locations,,"Promotions / Appraisal, Job Security"
Floating Numbers Digital Solutions,3.1,(116),IT Services & Consulting | Kolkata +3 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Oasis Infobyte,4.0,(116),Noida +8 other locations,"Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal, Job Security"
Christ University,3.4,(116),Education & Training | Bangalore/Bengaluru +5 other locations,,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Leonia Holistic Destination,3.7,(116),Hospitality | Hyderabad +7 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
C-Square Info Solutions,3.7,(116),IT Services & Consulting | Bangalore +12 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Hansa Research Group,4.0,(116),Analytics & KPO | Kolkata +18 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Skechers South Asia,4.2,(116),Retail | Delhi +28 other locations,"Salary & Benefits, Job Security, Work Life Balance",
Skechers South Asia,4.2,(116),Retail | Delhi +28 other locations,"Salary & Benefits, Job Security, Work Life Balance",
Virtual Oplossing,4.9,(116),Marketing & Advertising | Mohali,"Company Culture, Work Life Balance, Work Satisfaction",
3Pillar Global,3.4,(116),Software Product | Noida +3 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
Fare Labs,3.5,(116),Analytics & KPO | Gurugram +3 other locations,,"Company Culture, Promotions / Appraisal, Job Security"
P.N. International,4.1,(116),Import & Export | Noida +4 other locations,"Skill Development / Learning, Work Life Balance, Job Security",
Bobst India,4.2,(116),Industrial Machinery | Mex +7 other locations,"Work Life Balance, Company Culture, Job Security",
Presidium School,3.8,(116),Education & Training | New Delhi +7 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Vortex Engineering,3.7,(116),IT Services & Consulting | Chennai +20 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Jodo,3.6,(116),FinTech | Bengaluru/Bangalore +17 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Spinco Biotech,3.6,(116),Biotechnology | Chennai +14 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Bristol-Myers Squibb,4.2,(116),Pharma | New York +14 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
Education Culture,4.7,(116),Education & Training | Ludhiana +6 other locations,"Company Culture, Work Satisfaction, Promotions / Appraisal",
Indira Gandhi National Open University,4.2,(116),Education & Training | Delhi/NCR +34 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
DiTech Process Solutions,4.2,(116),Printing & Publishing | Mumbai +8 other locations,"Work Satisfaction, Job Security, Skill Development / Learning",
Data Bridge Market Research,2.4,(116),Analytics & KPO | Pune +4 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Metayb,4.1,(116),IT Services & Consulting | Chennai +2 other locations,"Company Culture, Job Security, Skill Development / Learning",
Gujarat Energy Transmission Corporation,4.3,(116),Government | Vadodara +31 other locations,"Work Satisfaction, Job Security, Skill Development / Learning",
MAT Brakes,3.8,(116),Industrial Machinery | New Delhi +8 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Stemmons Business Services,3.9,(116),BPO | Vadodara/Baroda,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Geltec,3.2,(116),Pharma | Mumbai +8 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
FutureSoft India,4.1,(115),Software Product | New Delhi +11 other locations,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
Decision Point,4.1,(116),Analytics & KPO | Gurgaon/Gurugram +5 other locations,"Skill Development / Learning, Job Security, Company Culture",
Metayb,4.1,(116),IT Services & Consulting | Chennai +2 other locations,"Company Culture, Job Security, Skill Development / Learning",
Oaknorth Bank,3.0,(116),Banking | London +3 other locations,,"Job Security, Skill Development / Learning, Work Satisfaction"
P C CHANDRA JEWELLERS,4.0,(116),Jewellery | Kolkata +23 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
P.N. International,4.1,(116),Import & Export | Noida +4 other locations,"Skill Development / Learning, Work Life Balance, Job Security",
Presidium School,3.8,(116),Education & Training | New Delhi +7 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Bobst India,4.2,(116),Industrial Machinery | Mex +7 other locations,"Work Life Balance, Company Culture, Job Security",
Education Culture,4.7,(116),Education & Training | Ludhiana +6 other locations,"Company Culture, Work Satisfaction, Promotions / Appraisal",
DUKES,3.6,(116),Food Processing | Hyderabad +29 other locations,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Yuken India,3.8,(116),Industrial Machinery | Bangalore/Bengaluru +8 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Gameskraft,3.8,(116),Software Product | Bangalore +1 other locations,Salary & Benefits,Promotions / Appraisal
Sabyasachi Couture,3.6,(116),Fashion & Textile | Kolkata +4 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Brigosha Technologies,2.7,(117),IT Services & Consulting | Bangalore/Bengaluru +2 other locations,,"Company Culture, Work Life Balance, Work Satisfaction"
