name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
Atos Syntel,3.6,,IT Services & Consulting | Troy +29 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amdocs,3.8,(3.8k),Software Product | Chesterfield +18 other locations,Company Culture,"Promotions / Appraisal, Work Satisfaction"
Hewlett Packard Enterprise,4.2,(3.7k),IT Services & Consulting | Houston +93 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
State Bank of India,3.8,(3.7k),Banking | Mumbai +524 other locations,"Job Security, Salary & Benefits",Work Life Balance
CBRE,4.2,(3.7k),Real Estate | Los Angeles +79 other locations,"Skill Development / Learning, Job Security, Company Culture",
Bosch,4.2,(3.7k),Auto Components | Gerlingen +107 other locations,"Company Culture, Work Life Balance, Job Security",
Hyundai Motor India Limited,4.3,(3.7k),Automobile | Seoul +275 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
Persistent Systems,3.5,(3.7k),IT Services & Consulting | Pune +35 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Dell,4.1,(3.6k),Consumer Electronics & Appliances | Round Rock +101 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
SBI Life Insurance Company,3.8,(3.6k),Insurance | Mumbai +568 other locations,Job Security,Promotions / Appraisal
JBM Group,4.0,(3.6k),Auto Components | Gurgaon/Gurugram +92 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Schneider Electric,4.2,(3.6k),Industrial Automation | Paris +108 other locations,"Company Culture, Work Life Balance, Job Security",
Ecom Express,3.9,(3.6k),Logistics | Gurgaon +659 other locations,,Promotions / Appraisal
Marpu Foundation,4.9,(3.6k),Non-Profit | Hyderabad/Secunderabad +55 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",
ITC Infotech,3.8,(3.5k),IT Services & Consulting | Bangalore/Bengaluru +55 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
KEC International,4.1,(3.5k),Engineering & Construction | Mumbai +275 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Bajaj Auto,3.9,(3.5k),Automobile | Pune +280 other locations,Company Culture,Promotions / Appraisal
Nagarjuna Construction Company,4.1,(3.5k),Engineering & Construction | Hyderabad/Secunderabad +235 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
Piramal Capital Housing Finance,4.2,(3.5k),NBFC | Mumbai +351 other locations,"Company Culture, Skill Development / Learning, Salary & Benefits",
Oyo Rooms,3.3,(3.5k),Hospitality | Gurgaon +119 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
